GFund,FFund,CFund,SFund,IFund,Date
10.02,9.97,10.2,10.26,10.22,2003-07-01
10.02,9.97,10.32,10.43,10.39,2003-07-02
10.02,9.94,10.24,10.39,10.49,2003-07-03
10.03,9.92,10.43,10.58,10.56,2003-07-07
10.03,9.91,10.47,10.7,10.53,2003-07-08
10.03,9.92,10.41,10.74,10.5,2003-07-09
10.03,9.94,10.27,10.59,10.43,2003-07-10
10.03,9.95,10.37,10.68,10.42,2003-07-11
10.03,9.93,10.43,10.8,10.55,2003-07-14
10.04,9.86,10.4,10.75,10.46,2003-07-15
10.04,9.86,10.33,10.67,10.38,2003-07-16
10.04,9.85,10.2,10.44,10.23,2003-07-17
10.04,9.85,10.32,10.52,10.26,2003-07-18
10.04,9.78,10.17,10.4,10.27,2003-07-21
10.04,9.79,10.27,10.5,10.3,2003-07-22
10.04,9.81,10.27,10.54,10.39,2003-07-23
10.04,9.79,10.2,10.52,10.55,2003-07-24
10.05,9.78,10.38,10.59,10.54,2003-07-25
10.05,9.74,10.36,10.66,10.62,2003-07-28
10.05,9.69,10.28,10.66,10.6,2003-07-29
10.05,9.72,10.27,10.65,10.49,2003-07-30
10.05,9.63,10.3,10.69,10.47,2003-07-31
10.05,9.63,10.19,10.56,10.42,2003-08-01
10.06,9.66,10.22,10.51,10.39,2003-08-04
10.06,9.63,10.04,10.37,10.43,2003-08-05
10.06,9.7,10.06,10.31,10.33,2003-08-06
10.06,9.73,10.13,10.32,10.37,2003-08-07
10.06,9.74,10.17,10.34,10.4,2003-08-08
10.06,9.71,10.2,10.43,10.47,2003-08-11
10.07,9.71,10.3,10.56,10.51,2003-08-12
10.07,9.63,10.24,10.56,10.57,2003-08-13
10.07,9.62,10.31,10.62,10.69,2003-08-14
10.07,9.64,10.31,10.65,10.69,2003-08-15
10.07,9.66,10.41,10.79,10.73,2003-08-18
10.07,9.71,10.43,10.91,10.73,2003-08-19
10.08,9.69,10.41,10.93,10.78,2003-08-20
10.08,9.66,10.44,11.03,10.78,2003-08-21
10.08,9.68,10.34,10.9,10.74,2003-08-22
10.08,9.66,10.34,10.85,10.69,2003-08-25
10.08,9.67,10.38,10.88,10.61,2003-08-26
10.08,9.66,10.38,10.96,10.66,2003-08-27
10.09,9.7,10.44,11.07,10.69,2003-08-28
10.09,9.7,10.5,11.13,10.72,2003-08-29
10.09,9.64,10.64,11.28,10.84,2003-09-02
10.09,9.64,10.69,11.33,10.96,2003-09-03
10.09,9.68,10.71,11.37,10.97,2003-09-04
10.1,9.76,10.64,11.31,11.02,2003-09-05
10.1,9.75,10.75,11.45,11.12,2003-09-08
10.1,9.76,10.66,11.37,11.14,2003-09-09
10.1,9.8,10.53,11.14,11.05,2003-09-10
10.1,9.78,10.59,11.22,11.0,2003-09-11
10.1,9.81,10.62,11.26,11.08,2003-09-12
10.11,9.82,10.58,11.23,11.1,2003-09-15
10.11,9.81,10.73,11.37,11.18,2003-09-16
10.11,9.85,10.69,11.36,11.27,2003-09-17
10.11,9.85,10.83,11.48,11.39,2003-09-18
10.11,9.85,10.8,11.5,11.38,2003-09-19
10.12,9.83,10.66,11.37,11.3,2003-09-22
10.12,9.84,10.72,11.47,11.29,2003-09-23
10.12,9.87,10.52,11.28,11.29,2003-09-24
10.12,9.89,10.46,11.09,11.2,2003-09-25
10.12,9.92,10.39,10.93,11.12,2003-09-26
10.13,9.9,10.49,11.05,11.1,2003-09-29
10.13,9.96,10.38,10.98,11.05,2003-09-30
10.13,9.96,10.62,11.19,11.26,2003-10-01
10.13,9.93,10.64,11.26,11.37,2003-10-02
10.13,9.85,10.74,11.42,11.54,2003-10-03
10.13,9.88,10.79,11.51,11.55,2003-10-06
10.13,9.84,10.84,11.57,11.61,2003-10-07
10.14,9.85,10.79,11.52,11.56,2003-10-08
10.14,9.83,10.84,11.61,11.68,2003-10-09
10.14,9.85,10.83,11.6,11.75,2003-10-10
10.14,9.82,10.95,11.8,11.8,2003-10-14
10.14,9.8,10.92,11.72,11.82,2003-10-15
10.14,9.78,10.96,11.78,11.87,2003-10-16
10.15,9.8,10.85,11.61,11.81,2003-10-17
10.15,9.81,10.9,11.62,11.84,2003-10-20
10.15,9.82,10.92,11.69,11.87,2003-10-21
10.15,9.85,10.75,11.49,11.77,2003-10-22
10.15,9.84,10.79,11.46,11.53,2003-10-23
10.15,9.88,10.74,11.42,11.57,2003-10-24
10.16,9.86,10.76,11.56,11.65,2003-10-27
10.16,9.9,10.93,11.74,11.71,2003-10-28
10.16,9.87,10.94,11.83,11.79,2003-10-29
10.16,9.84,10.93,11.82,11.83,2003-10-30
10.16,9.86,10.97,11.82,11.72,2003-10-31
10.16,9.84,11.06,11.98,11.72,2003-11-03
10.17,9.86,11.0,11.98,11.82,2003-11-04
10.17,9.84,10.99,12.0,11.74,2003-11-05
10.17,9.81,11.05,12.07,11.66,2003-11-06
10.17,9.8,11.0,12.08,11.81,2003-11-07
10.17,9.83,10.94,11.93,11.77,2003-11-10
10.18,9.84,11.06,12.07,11.76,2003-11-12
10.18,9.89,11.06,12.09,11.89,2003-11-13
10.18,9.93,10.98,11.96,11.93,2003-11-14
10.18,9.95,10.91,11.85,11.68,2003-11-17
10.18,9.95,10.81,11.76,11.78,2003-11-18
10.18,9.92,10.9,11.81,11.67,2003-11-19
10.19,9.95,10.81,11.75,11.71,2003-11-20
10.19,9.95,10.82,11.8,11.74,2003-11-21
10.19,9.92,11.0,12.04,11.77,2003-11-24
10.19,9.94,11.02,12.13,11.82,2003-11-25
10.19,9.92,11.07,12.18,11.94,2003-11-26
10.19,9.89,11.07,12.23,11.98,2003-11-28
10.2,9.86,11.19,12.38,12.15,2003-12-01
10.2,9.87,11.16,12.37,12.23,2003-12-02
10.2,9.86,11.14,12.24,12.29,2003-12-03
10.2,9.88,11.19,12.2,12.27,2003-12-04
10.2,9.96,11.11,12.11,12.26,2003-12-05
10.21,9.94,11.19,12.18,12.23,2003-12-08
10.21,9.9,11.09,12.03,12.28,2003-12-09
10.21,9.92,11.08,11.91,12.17,2003-12-10
10.21,9.96,11.21,12.14,12.18,2003-12-11
10.21,9.96,11.24,12.21,12.3,2003-12-12
10.22,9.95,11.18,12.04,12.41,2003-12-15
10.22,9.97,11.25,12.05,12.34,2003-12-16
10.22,9.99,11.27,12.07,12.35,2003-12-17
10.22,10.01,11.4,12.23,12.42,2003-12-18
10.22,10.01,11.4,12.23,12.46,2003-12-19
10.22,10.0,11.44,12.28,12.51,2003-12-22
10.23,9.96,11.47,12.36,12.56,2003-12-23
10.23,9.99,11.45,12.35,12.61,2003-12-24
10.23,10.01,11.47,12.38,12.63,2003-12-26
10.23,9.99,11.62,12.54,12.7,2003-12-29
10.23,9.98,11.62,12.57,12.82,2003-12-30
10.24,9.99,11.65,12.48,12.9,2003-12-31
10.24,9.94,11.61,12.5,12.99,2004-01-02
10.24,9.95,11.76,12.64,13.17,2004-01-05
10.24,9.99,11.77,12.67,13.22,2004-01-06
10.24,10.01,11.8,12.74,13.12,2004-01-07
10.25,10.01,11.86,12.79,13.25,2004-01-08
10.25,10.08,11.76,12.76,13.31,2004-01-09
10.25,10.08,11.81,12.87,13.27,2004-01-12
10.25,10.1,11.75,12.83,13.26,2004-01-13
10.25,10.11,11.85,12.91,13.28,2004-01-14
10.25,10.12,11.86,12.93,13.17,2004-01-15
10.25,10.11,11.94,13.04,13.13,2004-01-16
10.26,10.1,11.93,13.16,13.28,2004-01-20
10.26,10.11,12.03,13.18,13.45,2004-01-21
10.26,10.13,11.99,13.13,13.47,2004-01-22
10.26,10.09,11.96,13.17,13.45,2004-01-23
10.27,10.07,12.11,13.28,13.41,2004-01-26
10.27,10.09,11.99,13.18,13.36,2004-01-27
10.27,10.04,11.83,12.96,13.24,2004-01-28
10.27,10.04,11.89,12.88,13.08,2004-01-29
10.27,10.07,11.86,12.92,13.07,2004-01-30
10.28,10.07,11.9,12.93,13.1,2004-02-02
10.28,10.09,11.91,12.9,13.15,2004-02-03
10.28,10.08,11.81,12.69,13.03,2004-02-04
10.28,10.06,11.84,12.74,13.09,2004-02-05
10.28,10.1,11.98,13.0,13.25,2004-02-06
10.28,10.11,11.96,13.05,13.34,2004-02-09
10.28,10.1,12.02,13.16,13.36,2004-02-10
10.29,10.14,12.15,13.27,13.44,2004-02-11
10.29,10.12,12.09,13.21,13.5,2004-02-12
10.29,10.14,12.03,13.12,13.49,2004-02-13
10.29,10.14,12.14,13.26,13.66,2004-02-17
10.29,10.14,12.09,13.21,13.64,2004-02-18
10.29,10.15,12.04,13.08,13.65,2004-02-19
10.3,10.13,12.01,13.02,13.45,2004-02-20
10.3,10.15,11.98,12.86,13.49,2004-02-23
10.3,10.16,11.96,12.86,13.43,2004-02-24
10.3,10.16,12.01,12.99,13.36,2004-02-25
10.3,10.15,12.02,13.09,13.29,2004-02-26
10.31,10.18,12.02,13.15,13.36,2004-02-27
10.31,10.18,12.14,13.32,13.56,2004-03-01
10.31,10.16,12.07,13.27,13.49,2004-03-02
10.31,10.15,12.09,13.26,13.31,2004-03-03
10.31,10.17,12.13,13.37,13.39,2004-03-04
10.31,10.25,12.15,13.43,13.58,2004-03-05
10.32,10.27,12.05,13.31,13.53,2004-03-08
10.32,10.28,11.98,13.19,13.4,2004-03-09
10.32,10.28,11.81,12.97,13.24,2004-03-10
10.32,10.28,11.63,12.82,13.05,2004-03-11
10.32,10.27,11.78,13.04,13.08,2004-03-12
10.32,10.27,11.61,12.79,12.89,2004-03-15
10.32,10.3,11.67,12.78,13.06,2004-03-16
10.33,10.3,11.81,12.98,13.25,2004-03-17
10.33,10.28,11.8,12.93,13.23,2004-03-18
10.33,10.27,11.67,12.86,13.13,2004-03-19
10.33,10.29,11.52,12.64,12.97,2004-03-22
10.33,10.3,11.5,12.65,13.02,2004-03-23
10.33,10.3,11.47,12.6,12.99,2004-03-24
10.33,10.29,11.66,12.83,13.19,2004-03-25
10.34,10.25,11.65,12.86,13.15,2004-03-26
10.34,10.23,11.8,13.05,13.3,2004-03-29
10.34,10.23,11.85,13.15,13.32,2004-03-30
10.34,10.25,11.84,13.2,13.44,2004-03-31
10.34,10.23,11.91,13.33,13.61,2004-04-01
10.34,10.13,12.01,13.44,13.6,2004-04-02
10.35,10.1,12.1,13.51,13.65,2004-04-05
10.35,10.13,12.08,13.39,13.58,2004-04-06
10.35,10.13,12.0,13.41,13.67,2004-04-07
10.35,10.12,11.99,13.36,13.65,2004-04-08
10.35,10.11,12.05,13.37,13.7,2004-04-12
10.36,10.07,11.88,13.12,13.55,2004-04-13
10.36,10.05,11.87,13.05,13.35,2004-04-14
10.36,10.04,11.88,13.02,13.29,2004-04-15
10.36,10.06,11.94,13.08,13.44,2004-04-16
10.36,10.06,11.95,13.16,13.42,2004-04-19
10.36,10.04,11.76,12.96,13.32,2004-04-20
10.36,10.02,11.83,13.06,13.3,2004-04-21
10.37,10.05,11.99,13.27,13.46,2004-04-22
10.37,10.01,12.0,13.23,13.39,2004-04-23
10.37,10.02,11.95,13.21,13.46,2004-04-26
10.37,10.03,11.98,13.21,13.45,2004-04-27
10.37,10.01,11.81,12.99,13.19,2004-04-28
10.37,9.97,11.73,12.8,13.15,2004-04-29
10.37,9.99,11.66,12.68,13.13,2004-04-30
10.38,9.98,11.76,12.78,13.16,2004-05-03
10.38,9.97,11.79,12.83,13.32,2004-05-04
10.38,9.95,11.81,12.88,13.44,2004-05-05
10.38,9.92,11.73,12.72,13.19,2004-05-06
10.38,9.84,11.57,12.45,12.87,2004-05-07
10.39,9.84,11.45,12.19,12.46,2004-05-10
10.39,9.86,11.54,12.38,12.53,2004-05-11
10.39,9.86,11.56,12.36,12.68,2004-05-12
10.39,9.83,11.55,12.36,12.55,2004-05-13
10.39,9.86,11.55,12.31,12.5,2004-05-14
10.4,9.91,11.42,12.16,12.39,2004-05-17
10.4,9.89,11.5,12.29,12.48,2004-05-18
10.4,9.87,11.47,12.27,12.72,2004-05-19
10.4,9.9,11.48,12.28,12.65,2004-05-20
10.4,9.88,11.53,12.35,12.81,2004-05-21
10.4,9.89,11.55,12.47,12.83,2004-05-24
10.41,9.9,11.73,12.71,13.0,2004-05-25
10.41,9.93,11.75,12.79,12.98,2004-05-26
10.41,9.97,11.82,12.83,13.2,2004-05-27
10.41,9.94,11.82,12.87,13.17,2004-05-28
10.41,9.92,11.82,12.92,13.15,2004-06-01
10.41,9.91,11.87,12.95,13.2,2004-06-02
10.42,9.92,11.78,12.76,13.12,2004-06-03
10.42,9.9,11.84,12.85,13.2,2004-06-04
10.42,9.91,12.03,13.06,13.53,2004-06-07
10.42,9.91,12.05,13.04,13.46,2004-06-08
10.42,9.89,11.93,12.87,13.23,2004-06-09
10.43,9.89,11.99,12.88,13.36,2004-06-10
10.43,9.85,11.87,12.7,13.15,2004-06-14
10.43,9.94,11.95,12.86,13.33,2004-06-15
10.43,9.92,11.96,12.89,13.31,2004-06-16
10.43,9.94,11.95,12.89,13.35,2004-06-17
10.44,9.94,11.98,12.88,13.41,2004-06-18
10.44,9.95,11.93,12.85,13.43,2004-06-21
10.44,9.94,11.97,12.91,13.31,2004-06-22
10.44,9.95,12.07,13.05,13.42,2004-06-23
10.44,9.97,12.04,13.04,13.54,2004-06-24
10.45,9.98,11.97,13.13,13.5,2004-06-25
10.45,9.94,11.96,13.07,13.63,2004-06-28
10.45,9.96,12.0,13.12,13.51,2004-06-29
10.45,10.0,12.04,13.22,13.55,2004-06-30
10.45,10.03,11.92,13.07,13.47,2004-07-01
10.45,10.08,11.88,13.08,13.48,2004-07-02
10.46,10.07,11.79,12.91,13.34,2004-07-06
10.46,10.07,11.81,12.92,13.4,2004-07-07
10.46,10.08,11.72,12.73,13.36,2004-07-08
10.46,10.08,11.76,12.77,13.46,2004-07-09
10.47,10.09,11.77,12.74,13.48,2004-07-12
10.47,10.07,11.78,12.75,13.41,2004-07-13
10.47,10.07,11.74,12.71,13.4,2004-07-14
10.47,10.07,11.69,12.75,13.28,2004-07-15
10.47,10.13,11.64,12.65,13.39,2004-07-16
10.48,10.13,11.63,12.63,13.34,2004-07-19
10.48,10.09,11.71,12.79,13.28,2004-07-20
10.48,10.08,11.56,12.52,13.16,2004-07-21
10.48,10.09,11.59,12.47,13.11,2004-07-22
10.48,10.1,11.48,12.31,12.96,2004-07-23
10.49,10.09,11.46,12.18,12.89,2004-07-26
10.49,10.03,11.57,12.36,12.85,2004-07-27
10.49,10.04,11.58,12.3,12.87,2004-07-28
10.49,10.05,11.63,12.45,12.97,2004-07-29
10.49,10.1,11.65,12.49,13.04,2004-07-30
10.5,10.11,11.7,12.51,13.04,2004-08-02
10.5,10.12,11.63,12.39,13.08,2004-08-03
10.5,10.12,11.62,12.32,12.95,2004-08-04
10.5,10.13,11.43,12.11,12.88,2004-08-05
10.5,10.22,11.25,11.91,12.85,2004-08-06
10.5,10.21,11.26,11.89,12.83,2004-08-09
10.51,10.19,11.41,12.09,12.92,2004-08-10
10.51,10.2,11.38,12.03,12.82,2004-08-11
10.51,10.21,11.25,11.87,12.8,2004-08-12
10.51,10.23,11.27,11.87,12.81,2004-08-13
10.51,10.22,11.42,12.06,12.93,2004-08-16
10.52,10.24,11.45,12.12,12.89,2004-08-17
10.52,10.23,11.59,12.32,13.0,2004-08-18
10.52,10.24,11.55,12.25,13.03,2004-08-19
10.52,10.24,11.63,12.44,12.99,2004-08-20
10.52,10.22,11.6,12.37,12.96,2004-08-23
10.52,10.22,11.61,12.39,12.96,2004-08-24
10.53,10.23,11.7,12.49,12.99,2004-08-25
10.53,10.25,11.7,12.47,13.08,2004-08-26
10.53,10.25,11.73,12.54,13.13,2004-08-27
10.53,10.27,11.64,12.42,13.11,2004-08-30
10.53,10.29,11.69,12.49,13.17,2004-08-31
10.53,10.3,11.72,12.58,13.2,2004-09-01
10.54,10.27,11.85,12.71,13.3,2004-09-02
10.54,10.23,11.8,12.65,13.15,2004-09-03
10.54,10.25,11.88,12.76,13.29,2004-09-07
10.54,10.29,11.83,12.68,13.32,2004-09-08
10.54,10.28,11.85,12.77,13.24,2004-09-09
10.55,10.29,11.91,12.84,13.38,2004-09-10
10.55,10.3,11.93,12.91,13.43,2004-09-13
10.55,10.31,11.96,12.9,13.47,2004-09-14
10.55,10.3,11.88,12.85,13.29,2004-09-15
10.55,10.34,11.91,12.96,13.32,2004-09-16
10.55,10.31,11.96,12.95,13.37,2004-09-17
10.56,10.35,11.9,12.91,13.33,2004-09-20
10.56,10.35,11.97,13.01,13.56,2004-09-21
10.56,10.37,11.8,12.84,13.37,2004-09-22
10.56,10.35,11.75,12.83,13.36,2004-09-23
10.56,10.35,11.77,12.86,13.32,2004-09-24
10.57,10.36,11.7,12.73,13.26,2004-09-27
10.57,10.36,11.77,12.83,13.3,2004-09-28
10.57,10.33,11.82,12.91,13.35,2004-09-29
10.57,10.32,11.82,12.98,13.44,2004-09-30
10.57,10.29,12.0,13.18,13.62,2004-10-01
10.57,10.3,12.04,13.24,13.66,2004-10-04
10.58,10.31,12.03,13.21,13.71,2004-10-05
10.58,10.29,12.12,13.31,13.71,2004-10-06
10.58,10.28,12.0,13.14,13.69,2004-10-07
10.58,10.33,11.91,13.03,13.79,2004-10-08
10.58,10.35,11.9,13.04,13.58,2004-10-12
10.58,10.37,11.82,12.92,13.56,2004-10-13
10.59,10.39,11.71,12.84,13.56,2004-10-14
10.59,10.38,11.76,12.91,13.62,2004-10-15
10.59,10.38,11.82,12.96,13.59,2004-10-18
10.59,10.38,11.71,12.87,13.73,2004-10-19
10.59,10.4,11.71,12.92,13.67,2004-10-20
10.59,10.4,11.74,13.04,13.73,2004-10-21
10.6,10.41,11.63,12.9,13.75,2004-10-22
10.6,10.41,11.62,12.93,13.68,2004-10-25
10.6,10.41,11.79,13.06,13.71,2004-10-26
10.6,10.38,11.95,13.24,13.85,2004-10-27
10.6,10.38,11.97,13.22,13.95,2004-10-28
10.61,10.41,12.0,13.22,13.97,2004-10-29
10.61,10.38,12.0,13.25,13.98,2004-11-01
10.61,10.39,12.0,13.24,14.09,2004-11-02
10.61,10.4,12.14,13.42,14.22,2004-11-03
10.61,10.4,12.34,13.57,14.38,2004-11-04
10.61,10.35,12.39,13.61,14.48,2004-11-05
10.62,10.35,12.37,13.58,14.4,2004-11-08
10.62,10.35,12.37,13.63,14.36,2004-11-09
10.62,10.33,12.36,13.69,14.35,2004-11-10
10.62,10.36,12.59,13.95,14.65,2004-11-12
10.62,10.36,12.58,13.98,14.62,2004-11-15
10.63,10.35,12.5,13.9,14.58,2004-11-16
10.63,10.38,12.57,13.99,14.74,2004-11-17
10.63,10.4,12.58,13.98,14.69,2004-11-18
10.63,10.37,12.44,13.82,14.63,2004-11-19
10.63,10.38,12.52,13.93,14.57,2004-11-22
10.63,10.38,12.51,14.0,14.62,2004-11-23
10.64,10.37,12.57,14.11,14.7,2004-11-24
10.64,10.36,12.58,14.14,14.85,2004-11-26
10.64,10.33,12.54,14.16,14.91,2004-11-29
10.64,10.32,12.49,14.14,14.83,2004-11-30
10.64,10.32,12.68,14.33,15.01,2004-12-01
10.65,10.31,12.67,14.3,15.0,2004-12-02
10.65,10.37,12.67,14.33,15.09,2004-12-03
10.65,10.39,12.66,14.3,15.06,2004-12-06
10.65,10.39,12.53,14.08,14.98,2004-12-07
10.65,10.43,12.59,14.15,14.93,2004-12-08
10.65,10.42,12.66,14.18,14.85,2004-12-09
10.66,10.42,12.64,14.23,14.69,2004-12-10
10.66,10.42,12.76,14.33,14.87,2004-12-13
10.66,10.43,12.81,14.43,14.9,2004-12-14
10.66,10.45,12.84,14.54,15.06,2004-12-15
10.66,10.41,12.81,14.44,14.98,2004-12-16
10.66,10.4,12.71,14.46,14.9,2004-12-17
10.67,10.41,12.72,14.39,15.09,2004-12-20
10.67,10.42,12.83,14.55,15.04,2004-12-21
10.67,10.41,12.88,14.6,15.14,2004-12-22
10.67,10.41,12.89,14.62,15.26,2004-12-23
10.68,10.39,12.83,14.54,15.41,2004-12-27
10.68,10.39,12.93,14.73,15.42,2004-12-28
10.68,10.37,12.93,14.73,15.37,2004-12-29
10.68,10.4,12.93,14.75,15.47,2004-12-30
10.68,10.42,12.91,14.73,15.48,2004-12-31
10.69,10.42,12.81,14.5,15.41,2005-01-03
10.69,10.39,12.66,14.25,15.17,2005-01-04
10.69,10.4,12.61,14.06,15.16,2005-01-05
10.69,10.4,12.66,14.12,15.09,2005-01-06
10.69,10.4,12.64,14.05,15.06,2005-01-07
10.7,10.4,12.69,14.13,15.11,2005-01-10
10.7,10.42,12.61,14.01,15.13,2005-01-11
10.7,10.43,12.66,14.05,15.18,2005-01-12
10.7,10.45,12.55,14.01,15.13,2005-01-13
10.7,10.44,12.63,14.14,15.09,2005-01-14
10.71,10.45,12.75,14.28,15.08,2005-01-18
10.71,10.45,12.63,14.16,15.03,2005-01-19
10.71,10.47,12.53,14.07,14.93,2005-01-20
10.71,10.48,12.45,14.04,14.96,2005-01-21
10.71,10.49,12.41,13.91,15.03,2005-01-24
10.71,10.46,12.46,13.92,14.98,2005-01-25
10.72,10.46,12.52,14.07,15.15,2005-01-26
10.72,10.46,12.52,14.09,15.16,2005-01-27
10.72,10.48,12.49,14.05,15.08,2005-01-28
10.72,10.48,12.6,14.23,15.19,2005-01-31
10.72,10.48,12.68,14.32,15.32,2005-02-01
10.72,10.49,12.73,14.4,15.31,2005-02-02
10.73,10.48,12.69,14.36,15.21,2005-02-03
10.73,10.52,12.83,14.53,15.33,2005-02-04
10.73,10.53,12.82,14.51,15.3,2005-02-07
10.73,10.54,12.83,14.54,15.22,2005-02-08
10.73,10.56,12.72,14.34,15.23,2005-02-09
10.73,10.53,12.78,14.38,15.35,2005-02-10
10.73,10.52,12.87,14.53,15.43,2005-02-11
10.74,10.52,12.88,14.53,15.57,2005-02-14
10.74,10.52,12.92,14.55,15.62,2005-02-15
10.74,10.5,12.93,14.61,15.55,2005-02-16
10.74,10.49,12.82,14.49,15.62,2005-02-17
10.74,10.46,12.83,14.47,15.65,2005-02-18
10.75,10.45,12.65,14.23,15.73,2005-02-22
10.75,10.46,12.72,14.29,15.58,2005-02-23
10.75,10.45,12.82,14.42,15.58,2005-02-24
10.75,10.46,12.94,14.59,15.82,2005-02-25
10.76,10.42,12.86,14.52,15.85,2005-02-28
10.76,10.42,12.93,14.61,15.85,2005-03-01
10.76,10.42,12.93,14.61,15.79,2005-03-02
10.76,10.42,12.94,14.62,15.81,2005-03-03
10.76,10.45,13.06,14.75,16.02,2005-03-04
10.76,10.46,13.1,14.8,15.97,2005-03-07
10.77,10.43,13.04,14.7,16.06,2005-03-08
10.77,10.38,12.9,14.54,16.04,2005-03-09
10.77,10.39,12.93,14.48,15.96,2005-03-10
10.77,10.36,12.83,14.47,16.04,2005-03-11
10.77,10.37,12.91,14.58,15.9,2005-03-14
10.77,10.36,12.81,14.52,15.95,2005-03-15
10.78,10.37,12.71,14.39,15.94,2005-03-16
10.78,10.39,12.73,14.44,15.86,2005-03-17
10.78,10.37,12.72,14.38,15.83,2005-03-18
10.78,10.36,12.66,14.36,15.71,2005-03-21
10.78,10.32,12.53,14.28,15.57,2005-03-22
10.79,10.32,12.54,14.16,15.47,2005-03-23
10.79,10.32,12.53,14.21,15.45,2005-03-24
10.79,10.31,12.56,14.19,15.41,2005-03-28
10.79,10.33,12.47,14.02,15.37,2005-03-29
10.79,10.34,12.64,14.21,15.37,2005-03-30
10.8,10.37,12.64,14.25,15.45,2005-03-31
10.8,10.39,12.55,14.2,15.39,2005-04-01
10.8,10.39,12.59,14.23,15.27,2005-04-04
10.8,10.39,12.65,14.26,15.4,2005-04-05
10.8,10.4,12.68,14.29,15.46,2005-04-06
10.8,10.39,12.75,14.36,15.56,2005-04-07
10.81,10.38,12.65,14.21,15.55,2005-04-08
10.81,10.39,12.65,14.17,15.61,2005-04-11
10.81,10.43,12.72,14.26,15.58,2005-04-12
10.81,10.43,12.57,14.06,15.56,2005-04-13
10.81,10.44,12.44,13.86,15.39,2005-04-14
10.82,10.47,12.24,13.66,15.18,2005-04-15
10.82,10.48,12.27,13.72,15.03,2005-04-18
10.82,10.5,12.34,13.9,15.19,2005-04-19
10.82,10.5,12.18,13.72,15.19,2005-04-20
10.82,10.47,12.42,13.96,15.27,2005-04-21
10.82,10.49,12.34,13.81,15.32,2005-04-22
10.83,10.49,12.45,13.98,15.3,2005-04-25
10.83,10.49,12.34,13.84,15.22,2005-04-26
10.83,10.5,12.39,13.83,15.09,2005-04-27
10.83,10.53,12.25,13.63,14.97,2005-04-28
10.84,10.51,12.4,13.72,15.1,2005-04-29
10.84,10.52,12.45,13.82,15.08,2005-05-02
10.84,10.51,12.44,13.8,15.16,2005-05-03
10.84,10.52,12.6,14.0,15.3,2005-05-04
10.84,10.54,12.57,14.02,15.35,2005-05-05
10.84,10.49,12.55,14.05,15.37,2005-05-06
10.85,10.49,12.63,14.15,15.29,2005-05-09
10.85,10.51,12.5,14.04,15.25,2005-05-10
10.85,10.51,12.56,14.07,15.17,2005-05-11
10.85,10.53,12.43,13.9,15.03,2005-05-12
10.85,10.54,12.38,13.81,14.93,2005-05-13
10.86,10.54,12.5,13.97,14.91,2005-05-16
10.86,10.55,12.59,14.06,14.9,2005-05-17
10.86,10.57,12.72,14.28,15.13,2005-05-18
10.86,10.55,12.78,14.36,15.13,2005-05-19
10.86,10.55,12.76,14.36,15.05,2005-05-20
10.86,10.58,12.81,14.44,15.19,2005-05-23
10.87,10.59,12.81,14.45,15.2,2005-05-24
10.87,10.58,12.77,14.34,15.16,2005-05-25
10.87,10.58,12.85,14.48,15.16,2005-05-26
10.87,10.59,12.87,14.54,15.2,2005-05-27
10.88,10.62,12.79,14.55,15.04,2005-05-31
10.88,10.67,12.91,14.68,15.19,2005-06-01
10.88,10.67,12.93,14.73,15.22,2005-06-02
10.88,10.64,12.84,14.66,15.21,2005-06-03
10.88,10.65,12.86,14.7,15.22,2005-06-06
10.88,10.67,12.86,14.72,15.33,2005-06-07
10.88,10.66,12.83,14.66,15.23,2005-06-08
10.89,10.65,12.9,14.77,15.28,2005-06-09
10.89,10.61,12.87,14.77,15.2,2005-06-10
10.89,10.6,12.9,14.83,15.14,2005-06-13
10.89,10.59,12.94,14.92,15.18,2005-06-14
10.89,10.59,12.96,14.96,15.22,2005-06-15
10.89,10.61,13.01,15.09,15.27,2005-06-16
10.9,10.61,13.08,15.11,15.55,2005-06-17
10.9,10.61,13.07,15.09,15.37,2005-06-20
10.9,10.63,13.04,15.06,15.45,2005-06-21
10.9,10.68,13.04,15.09,15.46,2005-06-22
10.9,10.67,12.9,14.95,15.33,2005-06-23
10.9,10.69,12.81,14.85,15.35,2005-06-24
10.91,10.7,12.8,14.85,15.27,2005-06-27
10.91,10.67,12.92,15.05,15.3,2005-06-28
10.91,10.66,12.9,15.07,15.33,2005-06-29
10.91,10.68,12.81,15.04,15.32,2005-06-30
10.91,10.64,12.84,15.12,15.25,2005-07-01
10.92,10.62,12.96,15.3,15.2,2005-07-05
10.92,10.63,12.85,15.22,15.28,2005-07-06
10.92,10.65,12.88,15.27,15.08,2005-07-07
10.92,10.62,13.03,15.48,15.28,2005-07-08
10.93,10.63,13.12,15.63,15.42,2005-07-11
10.93,10.62,13.15,15.65,15.53,2005-07-12
10.93,10.61,13.16,15.6,15.46,2005-07-13
10.93,10.61,13.19,15.53,15.55,2005-07-14
10.93,10.61,13.21,15.55,15.48,2005-07-15
10.93,10.6,13.14,15.48,15.49,2005-07-18
10.93,10.61,13.22,15.67,15.5,2005-07-19
10.94,10.62,13.29,15.79,15.6,2005-07-20
10.94,10.58,13.2,15.63,15.63,2005-07-21
10.94,10.6,13.27,15.77,15.61,2005-07-22
10.94,10.59,13.22,15.67,15.59,2005-07-25
